,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
0,-119.38,49.96,KELOWNA,1123939,2018-02-01 00:00,2018,2,1,00:00,0.5,,-1.4,,87.0,,0.0,,11.0,,5.0,,11.3,,97.03,,,,,,Snow
1,-119.38,49.96,KELOWNA,1123939,2018-02-01 01:00,2018,2,1,01:00,-0.2,,-0.9,,95.0,,0.0,,20.0,,5.0,,2.0,,97.01,,,,-2.0,,Snow
2,-119.38,49.96,KELOWNA,1123939,2018-02-01 02:00,2018,2,1,02:00,-0.6,,-0.6,,100.0,,0.0,,13.0,,8.0,,16.1,,96.97,,,,-3.0,,Snow
3,-119.38,49.96,KELOWNA,1123939,2018-02-01 03:00,2018,2,1,03:00,0.3,,-1.0,,91.0,,0.0,,,M,4.0,,16.1,,96.96,,,,,,
4,-119.38,49.96,KELOWNA,1123939,2018-02-01 04:00,2018,2,1,04:00,-1.1,,-2.1,,93.0,,0.0,,,M,4.0,,16.1,,96.97,,,,-2.0,,
5,-119.38,49.96,KELOWNA,1123939,2018-02-01 05:00,2018,2,1,05:00,-2.6,,-3.7,,92.0,,0.0,,,M,5.0,,16.1,,96.95,,,,-5.0,,
6,-119.38,49.96,KELOWNA,1123939,2018-02-01 06:00,2018,2,1,06:00,-3.1,,-3.7,,96.0,,0.0,,,,0.0,,16.1,,96.96,,,,,,
7,-119.38,49.96,KELOWNA,1123939,2018-02-01 07:00,2018,2,1,07:00,-2.7,,-2.7,,100.0,,0.0,,,,0.0,,16.1,,96.96,,,,,,Snow
8,-119.38,49.96,KELOWNA,1123939,2018-02-01 08:00,2018,2,1,08:00,-2.3,,-3.5,,92.0,,0.0,,,,0.0,,16.1,,97.0,,,,,,
9,-119.38,49.96,KELOWNA,1123939,2018-02-01 09:00,2018,2,1,09:00,-1.3,,-2.4,,92.0,,0.0,,22.0,,4.0,,16.1,,97.04,,,,-3.0,,
10,-119.38,49.96,KELOWNA,1123939,2018-02-01 10:00,2018,2,1,10:00,-0.2,,-2.0,,88.0,,0.0,,21.0,,4.0,,16.1,,97.08,,,,-1.0,,
11,-119.38,49.96,KELOWNA,1123939,2018-02-01 11:00,2018,2,1,11:00,0.8,,-1.7,,83.0,,0.0,,16.0,,5.0,,16.1,,97.11,,,,,,
12,-119.38,49.96,KELOWNA,1123939,2018-02-01 12:00,2018,2,1,12:00,1.8,,-1.6,,78.0,,0.0,,15.0,,5.0,,16.1,,97.11,,,,,,
13,-119.38,49.96,KELOWNA,1123939,2018-02-01 13:00,2018,2,1,13:00,1.8,,-1.6,,78.0,,0.0,,18.0,,8.0,,16.1,,97.05,,,,,,
14,-119.38,49.96,KELOWNA,1123939,2018-02-01 14:00,2018,2,1,14:00,2.2,,-1.6,,76.0,,0.0,,17.0,,9.0,,16.1,,97.01,,,,,,
15,-119.38,49.96,KELOWNA,1123939,2018-02-01 15:00,2018,2,1,15:00,2.2,,-1.2,,78.0,,0.0,,15.0,,8.0,,16.1,,97.03,,,,,,
16,-119.38,49.96,KELOWNA,1123939,2018-02-01 16:00,2018,2,1,16:00,2.6,,-1.6,,74.0,,0.0,,,M,4.0,,16.1,,97.04,,,,,,
17,-119.38,49.96,KELOWNA,1123939,2018-02-01 17:00,2018,2,1,17:00,2.3,,-1.0,,79.0,,0.0,,15.0,,9.0,,16.1,,97.01,,,,,,Rain
18,-119.38,49.96,KELOWNA,1123939,2018-02-01 18:00,2018,2,1,18:00,1.4,,-0.1,,90.0,,0.0,,11.0,,4.0,,16.1,,96.97,,,,,,Rain
19,-119.38,49.96,KELOWNA,1123939,2018-02-01 19:00,2018,2,1,19:00,0.6,,0.3,,98.0,,0.0,,,M,4.0,,8.1,,96.97,,,,,,"Rain,Fog"
20,-119.38,49.96,KELOWNA,1123939,2018-02-01 20:00,2018,2,1,20:00,0.2,,0.2,,100.0,,0.2,,,,0.0,,2.0,,96.94,,,,,,Snow
21,-119.38,49.96,KELOWNA,1123939,2018-02-01 21:00,2018,2,1,21:00,0.2,,0.2,,100.0,,0.5,,,,0.0,,2.0,,96.91,,,,,,Snow
22,-119.38,49.96,KELOWNA,1123939,2018-02-01 22:00,2018,2,1,22:00,0.2,,0.2,,100.0,,0.8,,21.0,,4.0,,1.2,,96.91,,,,,,Snow
23,-119.38,49.96,KELOWNA,1123939,2018-02-01 23:00,2018,2,1,23:00,0.2,,0.2,,100.0,,1.2,,17.0,,5.0,,1.2,,96.84,,,,,,Snow
24,-119.38,49.96,KELOWNA,1123939,2018-02-02 00:00,2018,2,2,00:00,0.1,,0.1,,100.0,,1.0,,17.0,,5.0,,1.2,,96.85,,,,,,Snow
25,-119.38,49.96,KELOWNA,1123939,2018-02-02 01:00,2018,2,2,01:00,0.1,,0.1,,100.0,,0.2,,17.0,,5.0,,2.0,,96.83,,,,,,Snow
26,-119.38,49.96,KELOWNA,1123939,2018-02-02 02:00,2018,2,2,02:00,0.0,,0.0,,100.0,,1.2,,23.0,,8.0,,12.9,,96.82,,,,-3.0,,
27,-119.38,49.96,KELOWNA,1123939,2018-02-02 03:00,2018,2,2,03:00,0.1,,0.1,,100.0,,0.5,,,,0.0,,11.3,,96.87,,,,,,
28,-119.38,49.96,KELOWNA,1123939,2018-02-02 04:00,2018,2,2,04:00,0.0,,0.0,,100.0,,0.0,,17.0,,5.0,,16.1,,96.86,,,,-2.0,,
29,-119.38,49.96,KELOWNA,1123939,2018-02-02 05:00,2018,2,2,05:00,1.3,,0.3,,93.0,,0.0,,15.0,,8.0,,16.1,,96.77,,,,,,
30,-119.38,49.96,KELOWNA,1123939,2018-02-02 06:00,2018,2,2,06:00,1.6,,0.1,,90.0,,0.0,,15.0,,13.0,,16.1,,96.69,,,,,,
31,-119.38,49.96,KELOWNA,1123939,2018-02-02 07:00,2018,2,2,07:00,1.7,,0.4,,91.0,,0.0,,14.0,,15.0,,16.1,,96.6,,,,,,
32,-119.38,49.96,KELOWNA,1123939,2018-02-02 08:00,2018,2,2,08:00,2.1,,0.3,,88.0,,0.0,,15.0,,13.0,,16.1,,96.62,,,,,,
33,-119.38,49.96,KELOWNA,1123939,2018-02-02 09:00,2018,2,2,09:00,1.3,,0.3,,93.0,,0.0,,19.0,,5.0,,16.1,,96.56,,,,,,
34,-119.38,49.96,KELOWNA,1123939,2018-02-02 10:00,2018,2,2,10:00,2.4,,0.4,,87.0,,0.0,,17.0,,13.0,,16.1,,96.61,,,,,,Rain
35,-119.38,49.96,KELOWNA,1123939,2018-02-02 11:00,2018,2,2,11:00,1.6,,0.6,,93.0,,0.5,,14.0,,8.0,,16.1,,96.5,,,,,,Rain
36,-119.38,49.96,KELOWNA,1123939,2018-02-02 12:00,2018,2,2,12:00,3.0,,0.5,,84.0,,0.0,,13.0,,8.0,,16.1,,96.47,,,,,,
37,-119.38,49.96,KELOWNA,1123939,2018-02-02 13:00,2018,2,2,13:00,3.2,,0.4,,82.0,,0.0,,14.0,,17.0,,16.1,,96.47,,,,,,
38,-119.38,49.96,KELOWNA,1123939,2018-02-02 14:00,2018,2,2,14:00,2.8,,0.7,,86.0,,0.0,,18.0,,9.0,,16.1,,96.51,,,,,,Rain
39,-119.38,49.96,KELOWNA,1123939,2018-02-02 15:00,2018,2,2,15:00,3.0,,0.6,,84.0,,0.2,,17.0,,13.0,,16.1,,96.49,,,,,,
40,-119.38,49.96,KELOWNA,1123939,2018-02-02 16:00,2018,2,2,16:00,3.3,,1.0,,85.0,,0.0,,16.0,,17.0,,16.1,,96.53,,,,,,
41,-119.38,49.96,KELOWNA,1123939,2018-02-02 17:00,2018,2,2,17:00,3.1,,1.0,,86.0,,0.0,,15.0,,9.0,,16.1,,96.56,,,,,,
42,-119.38,49.96,KELOWNA,1123939,2018-02-02 18:00,2018,2,2,18:00,2.8,,1.0,,88.0,,0.0,,16.0,,15.0,,16.1,,96.52,,,,,,
43,-119.38,49.96,KELOWNA,1123939,2018-02-02 19:00,2018,2,2,19:00,3.1,,1.0,,86.0,,0.0,,18.0,,13.0,,16.1,,96.55,,,,,,
44,-119.38,49.96,KELOWNA,1123939,2018-02-02 20:00,2018,2,2,20:00,3.1,,1.3,,88.0,,0.0,,14.0,,11.0,,16.1,,96.52,,,,,,
45,-119.38,49.96,KELOWNA,1123939,2018-02-02 21:00,2018,2,2,21:00,2.6,,1.2,,90.0,,0.0,,16.0,,13.0,,16.1,,96.52,,,,,,
46,-119.38,49.96,KELOWNA,1123939,2018-02-02 22:00,2018,2,2,22:00,2.4,,0.9,,90.0,,0.0,,17.0,,17.0,,16.1,,96.53,,,,,,
47,-119.38,49.96,KELOWNA,1123939,2018-02-02 23:00,2018,2,2,23:00,3.4,,1.8,,89.0,,0.0,,21.0,,5.0,,16.1,,96.51,,,,,,Rain
48,-119.38,49.96,KELOWNA,1123939,2018-02-03 00:00,2018,2,3,00:00,2.9,,1.7,,92.0,,0.2,,19.0,,11.0,,16.1,,96.37,,,,,,
49,-119.38,49.96,KELOWNA,1123939,2018-02-03 01:00,2018,2,3,01:00,3.2,,1.7,,90.0,,0.0,,17.0,,15.0,,16.1,,96.3,,,,,,
50,-119.38,49.96,KELOWNA,1123939,2018-02-03 02:00,2018,2,3,02:00,2.7,,1.4,,91.0,,0.0,,21.0,,15.0,,16.1,,96.28,,,,,,
51,-119.38,49.96,KELOWNA,1123939,2018-02-03 03:00,2018,2,3,03:00,5.2,,1.6,,77.0,,0.0,,18.0,,13.0,,16.1,,96.23,,,,,,
